id,name,type,description,self_uri,size,created_time,updated_time,version,mime_type,aliases,bundle,dataset
ac39c08e7531b7689a5869ce20f75a81d667d794468c14f2051e41f2357c31039e03401d26e68675d4c6d641e9dccfb5ac7c114c37ceb2e39a2ab061b279b197,PRJEB28344/merged_files.accessioned.vcf.gz,f,,,8529137,2019-09-10 12:23:37+01:00,2019-09-10 12:23:37+01:00,,,,PRJEB28344,eva
41b241894eadd5b73925aa935e58bdb7d41f1b28b2b51d6fd582f735ede904242e6b3e2c876059e58e6900046d12b0ccd220e6d185a616cd11a3b54a4e29ab9a,PRJEB28344/merged_files.vcf.gz,f,,,66895613,2019-09-09 13:51:39+01:00,2019-09-09 13:51:39+01:00,,,,PRJEB28344,eva
a214de185f909b17256d1ceced4a25eb4879a4bc5c406781adbd061d54b65798012b63fe796be586aa0e593339e463b1acf19098aa9490eac7d27bc1f267862e,PRJEB28344/merged_files.vcf.gz.tbi,f,,,547673,2019-09-09 13:51:47+01:00,2019-09-09 13:51:47+01:00,,,,PRJEB28344,eva
12e2c6dd5180bc53c48f667b130c3ec2066ea4f4636449a7d08ad8e5e14cc6dbe2e816bf63be83297c92dc9184b01d0f873be83b16356474c5329aeed3e6ac60,PRJEB28344,d,,,75972423,2020-12-01 12:19:16+00:00,2020-12-01 12:19:16+00:00,,,,PRJEB28344,eva
775457eac6990a85c4f916feee7464cf0c76ccd991dc0e1fb66fb86345e1873f5f94fb2c44f70b8e92754f06c5e5973020965e9bc0663e9102c30b306d68ddec,PRJEB8639/genomedk.chr1.asmvar_indels.r1.EVA.vcf.gz,f,,,308742,2016-05-05 13:47:57+01:00,2016-05-05 13:47:57+01:00,,,,PRJEB8639,eva
c3b5a351cf83cfe1e743016044a8c125605cde6626dea3b66a6dff41d781ebd8bb0f4e44c4ad700b1ef7e895b7851da8ee3138be23ed12eb023a3e595a438174,PRJEB8639/genomedk.chr10.asmvar_indels.r1.EVA.vcf.gz,f,,,190105,2016-05-05 13:47:57+01:00,2016-05-05 13:47:57+01:00,,,,PRJEB8639,eva
4a450f3c0c33af4d4ebc31ab9445815764b7f477b9c60bd7e33ee752348277332632e0808d181781a1f2055d91e2533c8b90565eb541b658ab68330fe50de650,PRJEB8639/genomedk.chr11.asmvar_indels.r1.EVA.vcf.gz,f,,,176723,2016-05-05 13:47:57+01:00,2016-05-05 13:47:57+01:00,,,,PRJEB8639,eva
b310d9ac07df375416b7065984b2b61e5165eb83980d7a6ca4154897f4e8ec163d9e58d4d82cf8747e398567fdd9cfe2df3e81b0c85dbf3ffc3e99e04e14e43a,PRJEB8639/genomedk.chr12.asmvar_indels.r1.EVA.vcf.gz,f,,,182236,2016-05-05 13:47:57+01:00,2016-05-05 13:47:57+01:00,,,,PRJEB8639,eva
a721588cea28ad75f3ef8bb7dac589481bb9777d7758e3318dad47d466e7b1ccb8792e07ddb066f20d39f3bc194d33aede5016de65d9fff947977bc85a0dc75c,PRJEB8639/genomedk.chr13.asmvar_indels.r1.EVA.vcf.gz,f,,,115652,2016-05-05 13:47:57+01:00,2016-05-05 13:47:57+01:00,,,,PRJEB8639,eva
9601a99b3baf964a441ffd6f396f8c0901b03f0bffa55a83e7a33055f723fcbbda3dd1585be87301e90c7a86fc3a914ea74aa54b979b78c54de79e7ba91557c8,PRJEB8639/genomedk.chr14.asmvar_indels.r1.EVA.vcf.gz,f,,,123060,2016-05-05 13:47:57+01:00,2016-05-05 13:47:57+01:00,,,,PRJEB8639,eva
433855b8ea77377d341cca2807c89b558a50027abd9f81a543eac3ebadbc7c2fcc385556189c2c7ca8b346a3f42d7b39e5d7dd4187c34babc190ba58e3b8a59c,PRJEB8639/genomedk.chr15.asmvar_indels.r1.EVA.vcf.gz,f,,,112690,2016-05-05 13:47:57+01:00,2016-05-05 13:47:57+01:00,,,,PRJEB8639,eva
5289ca80ac6d8a1db4e82d3126e93c0365cc5cb2693ef224ab89b3c9ed889feb15948c79b98d66475142a47c0f2fd365b2d3d4d1866ee579951886040b2a3254,PRJEB8639/genomedk.chr16.asmvar_indels.r1.EVA.vcf.gz,f,,,132878,2016-05-05 13:47:57+01:00,2016-05-05 13:47:57+01:00,,,,PRJEB8639,eva
1c4063fe4201cc11592020a307a62b6d164e6265b948abd0cda72d0ec9f9211570ea5620a4b5e62e5d33b55b122395124e01a2606dae9ae8cc5921d486a14e7c,PRJEB8639/genomedk.chr17.asmvar_indels.r1.EVA.vcf.gz,f,,,147312,2016-05-05 13:47:57+01:00,2016-05-05 13:47:57+01:00,,,,PRJEB8639,eva
b6207b2be2ea4810d2064268e818ee0c0a5a2988410aa34923832a3659134c0c60621655f028990e75d2c19d5fa04d209db420263383cb0ebf79aae6a2530ec0,PRJEB8639/genomedk.chr18.asmvar_indels.r1.EVA.vcf.gz,f,,,94626,2016-05-05 13:47:57+01:00,2016-05-05 13:47:57+01:00,,,,PRJEB8639,eva
acedc02b2f85ee9e3be807f8e78910d5bcd47447fb15ab8bbd4779076b5b055a261fdc412716aa666cfa653b925514e7a93aeba848f6c016ccb4fb699e59b4d7,PRJEB8639/genomedk.chr19.asmvar_indels.r1.EVA.vcf.gz,f,,,163191,2016-05-05 13:47:57+01:00,2016-05-05 13:47:57+01:00,,,,PRJEB8639,eva
75d5981e619cd60ad3ad474e30e1ff036278e221e7dfc4eec018948f06a7d13eb1d2fd578ab069f8cd846825c1714a2c5b3fdc4a7c6a4d393f535ccb1e6e4ac5,PRJEB8639/genomedk.chr2.asmvar_indels.r1.EVA.vcf.gz,f,,,291011,2016-05-05 13:47:57+01:00,2016-05-05 13:47:57+01:00,,,,PRJEB8639,eva
c989c19d319841177dac49e568010e27685961243cf45d2f01a6ed043c0ec8301ab8ae1cca93c188ce5e65075f529db8d8af3815934afceba5c3871477131d41,PRJEB8639/genomedk.chr20.asmvar_indels.r1.EVA.vcf.gz,f,,,91174,2016-05-05 13:47:57+01:00,2016-05-05 13:47:57+01:00,,,,PRJEB8639,eva
e4c89775fed05969e3b4303ccc9c72911750ea7a67de1f5889e5cbe4b6ab87d196cfface40cd658cae5f81abb97be724b3ce15d6c5c3975eda235434b6b6f8e4,PRJEB8639/genomedk.chr21.asmvar_indels.r1.EVA.vcf.gz,f,,,54094,2016-05-05 13:47:57+01:00,2016-05-05 13:47:57+01:00,,,,PRJEB8639,eva
6e383af4b8f2ddae8992d0b5ade4122f3704e80577e4ef46692a8225362e58512504246d60ebcb4a19f45d79628d7652b4159f19c7b13fd8078c7e9ae9cfdff6,PRJEB8639/genomedk.chr22.asmvar_indels.r1.EVA.vcf.gz,f,,,69398,2016-05-05 13:47:57+01:00,2016-05-05 13:47:57+01:00,,,,PRJEB8639,eva
7b61d1f9e9b9d0d920080eff730fed6b42a74a0e0e82b06da64df1f0e680b599a96330f25ad775c359061a9f80a8b14eb7cb2bbb4fcc29ba4d4ffff8fb975c49,PRJEB8639/genomedk.chr3.asmvar_indels.r1.EVA.vcf.gz,f,,,235532,2016-05-05 13:47:57+01:00,2016-05-05 13:47:57+01:00,,,,PRJEB8639,eva
706c75c1597c5e2e4e82a5f48abfa5c928dd2c707d5ece69bcb08d507bc7cb14d2226bf21fbf02db2a669d80e0765ac0181d9e0374080175ea2999207564f261,PRJEB8639/genomedk.chr4.asmvar_indels.r1.EVA.vcf.gz,f,,,227043,2016-05-05 13:47:58+01:00,2016-05-05 13:47:58+01:00,,,,PRJEB8639,eva
38619d09c6925a95aa5ca5a5e8633c4d10ba362aa85854850d79b9a59bfc587714b0019bd119bf02291726a05f211d62d5b11705d04c2806e59a06f043bd225e,PRJEB8639/genomedk.chr5.asmvar_indels.r1.EVA.vcf.gz,f,,,215587,2016-05-05 13:47:58+01:00,2016-05-05 13:47:58+01:00,,,,PRJEB8639,eva
0957d6ae00be64c049cb5964efc9b89adf09e81c8094184acd5136ac93ea72e1cc68109da2853d388fee2152978520d6af78617d6076f4644db251b086feea82,PRJEB8639/genomedk.chr6.asmvar_indels.r1.EVA.vcf.gz,f,,,216276,2016-05-05 13:47:58+01:00,2016-05-05 13:47:58+01:00,,,,PRJEB8639,eva
e21d4d13e5d50ffb7dbf956a0f080bb582142528d6ed487221d6d8fbffd41d083c57afbe0e350a921fca4208a3dbdb8f74ef564d2c63dde73a249f16f2cbe42a,PRJEB8639/genomedk.chr7.asmvar_indels.r1.EVA.vcf.gz,f,,,220710,2016-05-05 13:47:58+01:00,2016-05-05 13:47:58+01:00,,,,PRJEB8639,eva
c4a09ccd6ae40c9aa397bce874d09b8b84dc22ecaec0cd96a992ba19384c510e1c7c6d09a907da0f75c53cca265409988a2f81817c56f7d17504aaafcd5fa499,PRJEB8639/genomedk.chr8.asmvar_indels.r1.EVA.vcf.gz,f,,,179709,2016-05-05 13:47:58+01:00,2016-05-05 13:47:58+01:00,,,,PRJEB8639,eva
1f374a9b21720d1de50501b92e422f539404779cdec9a128b94367ea7f4eab0ed7c116df4fda345d305e25945e9bafe51de4fd07b529fd309bfec05dff399b97,PRJEB8639/genomedk.chr9.asmvar_indels.r1.EVA.vcf.gz,f,,,155706,2016-05-05 13:47:58+01:00,2016-05-05 13:47:58+01:00,,,,PRJEB8639,eva
11fc6ad265bc456b0d3e67ec9e4285ecb4638a889b9e8eeb2d62efe6f1aa626e7ad39ed9df31c9e8be70cc89709464ee7f5f071d7eb7607e9ff3d6889ad06eb1,PRJEB8639/genomedk.chrX.asmvar_indels.r1.EVA.vcf.gz,f,,,166973,2016-05-05 13:47:58+01:00,2016-05-05 13:47:58+01:00,,,,PRJEB8639,eva
34fe16344192d8c08461b945dbdfe32446bfa46dca00db28aaaf1324b8ab5d9ac305a7c0aca32c26ae235ece20876bfa1807124eb99991e112da8abbc0edd556,PRJEB8639/genomedk.chrY.asmvar_indels.r1.EVA.vcf.gz,f,,,63014,2016-05-05 13:47:58+01:00,2016-05-05 13:47:58+01:00,,,,PRJEB8639,eva
8b463a9848133468f4ea8a688e62d5e7f44020110879a8b1c86ed9aaeb2c14873baab9a9381115e1c0b4bf9b3142fcb494b1d74861a44436eded090e7544f78e,PRJEB8639,d,,,3933442,2020-12-01 12:19:21+00:00,2020-12-01 12:19:21+00:00,,,,PRJEB8639,eva
6909dbfc349da4e0ade795f45cda66e02debbf11f2abf79d4579f9f2a3204e2c7460fe4f9ad3704ba48433eb30ec0104954376e5eff1c18815b028c36226de5a,PRJEB28606/1000g,f,,,4223,2020-12-01 12:19:24+00:00,2020-12-01 12:19:24+00:00,,,,PRJEB28606,eva
a2198132ca3b98285835f1f8b3563084814a7f6f2917f3280d56e0a7792750e4eaaefac4f2e4497a7ac3d8d7a71ee5a88ba708eee9adb316167cbeb62b05720a,PRJEB28606/biostudies,f,,,3363,2020-12-01 12:19:24+00:00,2020-12-01 12:19:24+00:00,,,,PRJEB28606,eva
5f22ce139ce8e161c34e8985698dad76b5314c4f1c6377846f7d67d18cb3277d2efc81eb34ccb0f924ab1a18143875b1f9115e816da9f6dd774af2b0d698a5b0,PRJEB28606/biostudies-test,f,,,3697,2020-12-01 12:19:24+00:00,2020-12-01 12:19:24+00:00,,,,PRJEB28606,eva
9075d8fb98f5c7af337cfa2a3e4b556639c916277bcb42659586c6789925e427fcc128b219e6f8cd788ad7dad81a832773e9c42638f11ca6ee191ffedc952e11,PRJEB28606/empiar,f,,,3388,2020-12-01 12:19:24+00:00,2020-12-01 12:19:24+00:00,,,,PRJEB28606,eva
c84a926a3392911764e98fb03557ce1a9ef4e63bc6dcd739d133cfdc4d020269d02d8d63d1c80fb786b687ca4466828a8b547944421a2d3e06537f388544684b,PRJEB28606/ensemblgenomes,f,,,3723,2020-12-01 12:19:24+00:00,2020-12-01 12:19:24+00:00,,,,PRJEB28606,eva
abf251824d831e2b5aa2891f698708e5ccdfab58a3b906fe68a2333efd5cf310f9cf9295073cc94962cac0e8f8ee43d2e3bfb85e56f2f9087381b444d780a7e4,PRJEB28606/ensemblorg,f,,,4310,2020-12-01 12:19:25+00:00,2020-12-01 12:19:25+00:00,,,,PRJEB28606,eva
bbdf8e511b261ff0861ac761672674dd8229525c2a9f896f19ef1db6984eb6f8a3d970f1f052cb978d0d8b3d7848e876a2a220dfe5ddd8b995b8d694200c83b3,PRJEB28606/faang,f,,,3338,2020-12-01 12:19:25+00:00,2020-12-01 12:19:25+00:00,,,,PRJEB28606,eva
55085b5ffae268eb67b06aa13c8da6c81e01dbf4d7c364d158bd807886d201a9ae1575b7480589f5bebc73c2f58affecde867e2ad266795648670f8856bef764,PRJEB28606/hipsci,f,,,3649,2020-12-01 12:19:25+00:00,2020-12-01 12:19:25+00:00,,,,PRJEB28606,eva
c2e9cd8352f63fd6fe5dca49553d77c4b338d8de19cc8fadccacfdb2ed44995512b5c34b3c7a5b80119bbdbe0bfd010e7d24ee6262406c978b0c6ff342a25dc0,PRJEB28606/pride,f,,,3052,2020-12-01 12:19:25+00:00,2020-12-01 12:19:25+00:00,,,,PRJEB28606,eva
5df957aac14a3c237747ec6627c139e06028a3a408ff1f79a71d5c8a213357a16cc81f319b63368004568458a284da6be5e02fe9d8a226adae24bf7b7f6ec7f4,PRJEB28606/pub,f,,,6015,2020-12-01 12:19:25+00:00,2020-12-01 12:19:25+00:00,,,,PRJEB28606,eva
387184c4da57d9718e8fbe4cb81331ba820e580799ff8c4f0785a03987b2d6fd8cb241ff0471d29bf9118b005f38da32ac49f942049c94135ffeef10d0306e5c,PRJEB28606/robots.txt,f,,,25,2020-11-25 13:49:25+00:00,2020-11-25 13:49:25+00:00,,,,PRJEB28606,eva
277b914614c4464f8cd5bc80a3102358cc28cc5e0d5fc8121eddce9063adc4ed4daa99cda186d967355fae8b5ad76d23c4b2df106db5430690ddd51d45935bf4,PRJEB28606/vol1,f,,,233897,2020-12-01 12:19:25+00:00,2020-12-01 12:19:25+00:00,,,,PRJEB28606,eva
1e860e8af97d821fa5c0b7be5cfe0ef4f58106fa8a6279900636bb12ac533ee474edbfcd8a2348e5dfcff39a04fcfa1bce68a4ff178e00f88ec982fbeebd28f2,PRJEB28606,d,,,272680,2020-12-01 12:19:25+00:00,2020-12-01 12:19:25+00:00,,,,PRJEB28606,eva
